"month","account","total_transfer_in","total_transfer_out","account_monthly_balance"
1,"623509224135263","1463.3600000000001","1809.33","-345.9699999999998"
2,"623509224135263","2.99","743.02","-1085.9999999999998"
3,"623509224135263","4007.2299999999996","2954.81","-33.580000000000155"
4,"623509224135263","6824.78","1051.02","5740.18"
5,"623509224135263","1282.6399999999999","3021.0600000000004","4001.7599999999998"
6,"623509224135263","2549.31","508.67","6042.4"
7,"623509224135263","3128.24","1739.6800000000003","7430.959999999999"
8,"623509224135263","3005.61","2358.35","8078.219999999999"
9,"623509224135263","5217.13","1580.91","11714.439999999999"
10,"623509224135263","1040.14","0","12754.579999999998"
11,"623509224135263","1840.47","1364.38","13230.669999999998"
12,"623509224135263","2093.95","129.94","15194.679999999998"
1,"1910868644230470","1348.08","0","1348.08"
2,"1910868644230470","2923.52","0","4271.6"
3,"1910868644230470","3342.23","2719.29","4894.540000000001"
4,"1910868644230470","5062.14","0","9956.68"
5,"1910868644230470","0","1528.59","8428.09"
6,"1910868644230470","1979.23","0","10407.32"
7,"1910868644230470","1595.52","0","12002.84"
8,"1910868644230470","129.98","3579.08","8553.74"
9,"1910868644230470","0","2353.51","6200.23"
10,"1910868644230470","1787.24","1263.66","6723.8099999999995"
11,"1910868644230470","2089.79","0","8813.599999999999"
12,"1910868644230470","3628.46","0","12442.059999999998"
1,"1963067196365885","1399.96","1277.02","122.94000000000005"
2,"1963067196365885","5617.61","1723.94","4016.6099999999997"
3,"1963067196365885","1290.38","4842.85","464.1399999999994"
4,"1963067196365885","4575.76","745.66","4294.24"
5,"1963067196365885","4432.0599999999995","1428.77","7297.529999999999"
6,"1963067196365885","1427.48","6797.9400000000005","1927.069999999998"
7,"1963067196365885","3128.34","984.62","4070.789999999998"
8,"1963067196365885","2385.2200000000003","0","6456.009999999998"
9,"1963067196365885","3279.5200000000004","2441.79","7293.739999999999"
10,"1963067196365885","8399.58","702.6","14990.719999999998"
11,"1963067196365885","2272.95","587.27","16676.399999999998"
12,"1963067196365885","3508.17","3070.4599999999996","17114.109999999997"
1,"1977223077647860","4350.72","0","4350.72"
2,"1977223077647860","4263.09","0","8613.810000000001"
3,"1977223077647860","549.55","0","9163.36"
5,"1977223077647860","416.01","0","9579.37"
6,"1977223077647860","1250.87","1525.43","9304.810000000001"
7,"1977223077647860","208.64","0","9513.45"
8,"1977223077647860","0","0","9513.45"
9,"1977223077647860","1428","0","10941.45"
10,"1977223077647860","1824.2","0","12765.650000000001"
11,"1977223077647860","2356.31","0","15121.960000000001"
12,"1977223077647860","0","0","15121.960000000001"
1,"3417018705901279","3611.52","2742.92","868.5999999999999"
2,"3417018705901279","2764.4799999999996","0","3633.0799999999995"
3,"3417018705901279","2951.58","6109.370000000001","475.2899999999986"
4,"3417018705901279","7498.259999999999","2704.68","5268.869999999999"
5,"3417018705901279","3310.48","2982.2200000000003","5597.129999999999"
6,"3417018705901279","5827.86","0","11424.989999999998"
7,"3417018705901279","8444.89","4950.400000000001","14919.479999999996"
8,"3417018705901279","5267.469999999999","2160.77","18026.179999999997"
9,"3417018705901279","5913.42","1698.64","22240.959999999995"
10,"3417018705901279","6191.59","2291.63","26140.919999999995"
11,"3417018705901279","9323.350000000002","1582.13","33882.14"
12,"3417018705901279","7683.62","3059.92","38505.84"
1,"4754428307736093","1717.2399999999998","1957.79","-240.55000000000018"
2,"4754428307736093","3108.7200000000003","1256.08","1612.0900000000001"
3,"4754428307736093","4786.38","1819.08","4579.39"
4,"4754428307736093","798.99","2437.08","2941.3"
5,"4754428307736093","7706.52","2509.4","8138.420000000001"
6,"4754428307736093","3568.4500000000003","0","11706.87"
7,"4754428307736093","3631.6","198.34","15140.130000000001"
8,"4754428307736093","6333.950000000001","5386.049999999999","16088.030000000002"
9,"4754428307736093","2810.25","3924.33","14973.950000000003"
10,"4754428307736093","7238.9400000000005","3629.25","18583.640000000003"
11,"4754428307736093","8075.56","5099.9","21559.300000000003"
12,"4754428307736093","1917.0300000000002","1249.69","22226.640000000003"
1,"4815918146446274","1109.38","0","1109.38"
2,"4815918146446274","1873.34","0","2982.7200000000003"
3,"4815918146446274","2431.57","0","5414.290000000001"
4,"4815918146446274","2519.31","0","7933.6"
5,"4815918146446274","486","0","8419.6"
6,"4815918146446274","193.88","0","8613.48"
7,"4815918146446274","1125.95","225.22","9514.21"
8,"4815918146446274","392.55","0","9906.759999999998"
9,"4815918146446274","0","0","9906.759999999998"
10,"4815918146446274","0","0","9906.759999999998"
11,"4815918146446274","0","0","9906.759999999998"
12,"4815918146446274","0","0","9906.759999999998"
1,"7089776641588232","6362.43","0","6362.43"
2,"7089776641588232","8679.83","3140.05","11902.21"
3,"7089776641588232","4994.56","487.47","16409.3"
4,"7089776641588232","2589.6","327.79","18671.11"
5,"7089776641588232","4522.79","1706.7999999999997","21487.100000000002"
6,"7089776641588232","8407","0","29894.100000000002"
7,"7089776641588232","1652.13","0","31546.230000000003"
8,"7089776641588232","3979.37","1508.1299999999999","34017.47"
9,"7089776641588232","3373.02","1388.03","36002.46"
10,"7089776641588232","2686.88","3250.5299999999997","35438.81"
11,"7089776641588232","1423.76","0","36862.57"
12,"7089776641588232","2199.04","3690.5200000000004","35371.09"
1,"7217842831573969","4307.23","1477.23","2829.9999999999995"
2,"7217842831573969","8112.879999999999","2560.24","8382.64"
3,"7217842831573969","9957.36","519.25","17820.75"
4,"7217842831573969","2189.26","2465.8599999999997","17544.15"
5,"7217842831573969","5376.360000000001","1312.19","21608.320000000003"
6,"7217842831573969","1232.75","3037.13","19803.940000000002"
7,"7217842831573969","8932.96","0","28736.9"
8,"7217842831573969","6157.78","614.6999999999999","34279.98"
9,"7217842831573969","166.92","4590.95","29855.950000000004"
10,"7217842831573969","3997.6799999999994","0","33853.630000000005"
11,"7217842831573969","4330.53","1305.54","36878.62"
12,"7217842831573969","5027.28","1306.51","40599.39"
1,"7280986105095448","0","0","0"
2,"7280986105095448","1448.3799999999999","3331.33","-1882.95"
3,"7280986105095448","3485.77","782.43","820.3900000000001"
4,"7280986105095448","523.03","0","1343.42"
5,"7280986105095448","259.97","1780.66","-177.26999999999998"
6,"7280986105095448","3454.46","0","3277.19"
7,"7280986105095448","3134.83","0","6412.02"
8,"7280986105095448","734.95","1708.99","5437.9800000000005"
9,"7280986105095448","4298.21","1594.74","8141.450000000001"
10,"7280986105095448","1120.39","1267.63","7994.210000000001"
11,"7280986105095448","0","1519.56","6474.6500000000015"
12,"7280986105095448","1440.44","1697.87","6217.220000000001"
1,"8585202054705277","998.99","2193.95","-1194.9599999999998"
2,"8585202054705277","2259.67","2136.57","-1071.86"
3,"8585202054705277","5699.370000000001","1613.8","3013.710000000001"
4,"8585202054705277","7733.07","2698.9700000000003","8047.81"
5,"8585202054705277","2414.73","653.92","9808.62"
6,"8585202054705277","2009.51","1146.23","10671.900000000001"
7,"8585202054705277","7082.610000000001","0","17754.510000000002"
8,"8585202054705277","1543.96","802.27","18496.2"
9,"8585202054705277","1387.27","1440.63","18442.84"
10,"8585202054705277","3341.55","0","21784.39"
11,"8585202054705277","819.4100000000001","1753.76","20850.04"
12,"8585202054705277","1583.85","1893.63","20540.260000000002"
1,"8760191993448631","1834.42","3325.75","-1491.33"
2,"8760191993448631","6091.12","7232.070000000001","-2632.2800000000007"
3,"8760191993448631","2917.8","0","285.5199999999995"
4,"8760191993448631","6308.23","471.02","6122.729999999999"
5,"8760191993448631","5710.02","1884.21","9948.539999999999"
6,"8760191993448631","4303.97","189.43","14063.079999999998"
7,"8760191993448631","8662.93","0","22726.01"
8,"8760191993448631","6463.33","0","29189.339999999997"
9,"8760191993448631","7511.18","4361.69","32338.829999999998"
10,"8760191993448631","7748.530000000001","4829.4","35257.96"
11,"8760191993448631","5028.33","0","40286.29"
12,"8760191993448631","5640.4400000000005","0","45926.73"
1,"9029246780109014","2941.3799999999997","3722.88","-781.5000000000005"
2,"9029246780109014","5226.07","60.2","4384.369999999999"
3,"9029246780109014","5050.82","103.06","9332.129999999997"
4,"9029246780109014","1863.46","2881.59","8313.999999999996"
5,"9029246780109014","9107.29","5831.97","11589.319999999996"
6,"9029246780109014","14586.74","94.87","26081.189999999995"
7,"9029246780109014","5997.709999999999","0","32078.899999999994"
8,"9029246780109014","2828.69","4746.51","30161.079999999994"
9,"9029246780109014","6847.25","3263.36","33744.969999999994"
10,"9029246780109014","651.04","6373.390000000001","28022.61999999999"
11,"9029246780109014","4278.67","3284.38","29016.909999999993"
12,"9029246780109014","5746.370000000001","5155.93","29607.34999999999"
